names	in_Gavin	in_Krogan	unique_to_Gavin	unique_to_Krogan
ARC1	1	1	0	0
MLC1	1	1	0	0
YGL108C	0	1	0	1
NSA1	1	0	1	0
TAF6	1	1	0	0
SLD3	0	1	0	1
SNF4	1	1	0	0
CDC20	0	1	0	1
PRP43	1	1	0	0
GPG1	0	1	0	1
NAB2	0	1	0	1
MON1	0	1	0	1
MET13	0	1	0	1
SOH1	0	1	0	1
CWC23	1	1	0	0
RSM23	1	1	0	0
CEG1	1	0	1	0
SNT2	0	1	0	1
ITC1	1	1	0	0
PCL10	0	1	0	1
SEC27	1	1	0	0
YGL140C	0	1	0	1
HUL5	0	1	0	1
MRF1	0	1	0	1
TIP20	1	0	1	0
RPL9A	1	0	1	0
INO80	1	1	0	0
NUT1	1	1	0	0
LYS5	1	0	1	0
AMS1	1	0	1	0
ARI1	0	1	0	1
YIP5	0	1	0	1
CUP2	0	1	0	1
PMR1	1	1	0	0
ROK1	1	1	0	0
NUP49	0	1	0	1
XRN1	1	0	1	0
BUD13	0	1	0	1
SAE2	0	1	0	1
MPT5	0	1	0	1
GTS1	0	1	0	1
COX4	0	1	0	1
CDC55	1	1	0	0
HOS2	1	0	1	0
GCN1	1	1	0	0
MDS3	1	1	0	0
EMP24	1	1	0	0
MCM6	0	1	0	1
KEX1	0	1	0	1
CHC1	1	1	0	0
SPT16	1	1	0	0
SIP2	1	1	0	0
SKI8	1	1	0	0
CLG1	0	1	0	1
BOL2	0	1	0	1
COG1	1	0	1	0
VID30	0	1	0	1
SAP4	0	1	0	1
TAN1	1	1	0	0
SEC15	1	0	1	0
"""ADE5,7"	1	1	0	0
CSE1	1	1	0	0
DOC1	0	1	0	1
KAP114	1	1	0	0
YGL242C	0	1	0	1
RTF1	1	1	0	0
GUS1	1	1	0	0
RAI1	1	1	0	0
HFM1	0	1	0	1
RTG2	1	1	0	0
HXK2	0	1	0	1
SWC4	0	1	0	1
CUL3	0	1	0	1
TFG2	1	1	0	0
PRP18	0	1	0	1
YGR012W	0	1	0	1
SNU71	1	1	0	0
YGR017W	1	0	1	0
VMA7	1	1	0	0
RPS25A	1	0	1	0
POP6	0	1	0	1
IMO32	0	1	0	1
GSC2	0	1	0	1
TIM21	0	1	0	1
RPL26B	1	0	1	0
ACB1	0	1	0	1
BUD9	0	1	0	1
NQM1	0	1	0	1
TFC4	0	1	0	1
UFD1	1	1	0	0
FMP48	0	1	0	1
YGR054W	1	1	0	0
RSC1	1	1	0	0
ADE6	0	1	0	1
COX18	0	1	0	1
SPT4	1	1	0	0
YGR067C	0	1	0	1
ART5	0	1	0	1
ENV11	0	1	0	1
UPF3	0	1	0	1
SMD1	1	1	0	0
PRP38	1	1	0	0
MRPL25	0	1	0	1
PAC10	0	1	0	1
SLX9	1	1	0	0
GCD2	1	1	0	0
MRP13	1	1	0	0
RPL11B	1	0	1	0
PIL1	1	1	0	0
PDC6	0	1	0	1
UTP22	1	1	0	0
PRP31	1	1	0	0
DRN1	0	1	0	1
VAS1	1	0	1	0
RRP46	1	1	0	0
ASK10	0	1	0	1
ESP1	0	1	0	1
NOP7	1	1	0	0
SRB5	1	1	0	0
